ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
1786,91,27,SAU,13,0,Finished,+1 Lap
1787,91,26,AMR,14,0,Finished,+1 Lap
1788,91,61,ALP,15,0,Finished,+1 Lap
1789,91,15,HAS,16,0,Finished,+1 Lap
1790,91,30,AT,NULL,0,DNF,NULL
1791,91,18,SAU,NULL,0,DNF,NULL
1792,91,43,WIL,NULL,0,DNF,NULL
1793,91,17,RBR,NULL,0,DNF,NULL
1794,92,16,MCL,1,25,Finished,01:42:06.304
1795,92,10,RBR,2,18,Finished,+0.895
1796,92,22,MER,3,15,Finished,+8.481
1797,92,12,MER,4,12,Finished,+10.135
1798,92,1,WIL,5,10,Finished,+12.773
1799,92,26,AMR,6,8,Finished,+17.413
1800,92,13,SAU,7,6,Finished,+18.423
1801,92,12,FER,8,4,Finished,+19.826
1802,92,19,MCL,9,2,Finished,+20.448
1803,92,11,FER,10,1,Finished,+22.473
1804,92,8,ALP,11,0,Finished,+26.502
1805,92,23,AT,12,0,Finished,+29.884
1806,92,24,HAS,13,0,Finished,+33.161
1807,92,50,HAS,14,0,Finished,+40.351
1808,92,30,RBR,NULL,0,DNF,NULL
1809,92,5,SAU,NULL,0,DNF,NULL
1810,92,25,AMR,NULL,0,DNF,NULL
1811,92,21,WIL,NULL,0,DNF,NULL
1812,92,61,ALP,NULL,0,DNF,NULL
1813,92,6,AT,NULL,0,DNS,NULL
1814,93,19,MCL,1,25,Finished,01:30:55.026
1815,93,16,MCL,2,18,Finished,+9.748
1816,93,22,MER,3,15,Finished,+11.097
1817,93,10,RBR,4,12,Finished,+16.656
1818,93,24,HAS,5,10,Finished,+49.969
1819,93,12,MER,6,8,Finished,+53.748
1820,93,1,WIL,7,6,Finished,+56.321
1821,93,50,HAS,8,4,Finished,+61.303
1822,93,26,AMR,9,2,Finished,+70.204
1823,93,21,WIL,10,1,Finished,+76.387
1824,93,6,AT,11,0,Finished,+78.875
1825,93,30,RBR,12,0,Finished,+81.147
1826,93,61,ALP,13,0,Finished,+88.401
1827,93,5,SAU,14,0,Finished,+1 Lap
1828,93,13,SAU,15,0,Finished,+1 Lap
1829,93,23,AT,16,0,Finished,+1 Lap
1830,93,25,AMR,NULL,0,DNF,NULL
1831,93,12,FER,NULL,0,DSQ,NULL
1832,93,11,FER,NULL,0,DSQ,NULL
1833,93,8,ALP,NULL,0,DSQ,NULL
1834,94,10,RBR,1,25,Finished,01:22:06.983
1835,94,16,MCL,2,18,Finished,+1.423
1836,94,19,MCL,3,15,Finished,+2.129
1837,94,12,FER,4,12,Finished,+16.097
1838,94,22,MER,5,10,Finished,+17.362
1839,94,12,MER,6,8,Finished,+18.671
1840,94,11,FER,7,6,Finished,+29.182
1841,94,6,AT,8,4,Finished,+37.134
